"GeoName","Sovereign1","Territory1","Area_km2","EconomicVulnerability","DependMarineResource","Education","Tourism","Corruption","ChallengeIndex","OpportunityIndex","CLI","Nospecies","CR","EN","VU","Threatened","rest"
"Liberian Exclusive Economic Zone","Liberia","Liberia",251776.275286,57.24667358,1.91246839306623,0.423,5.11903,-31,1.53339,-0.062,-2.19,85,4,7,17,28,57
"Madagascan Exclusive Economic Zone","Madagascar","Madagascar",1196333.81237,34.20600128,2.75317881297095,0.492,16.5725,-24,0.88312,-0.26019,-2.2,72,1,1,24,26,46
"Disputed area Glorioso Islands: France / Madagascar","Madagascar","Madagascar",43559.8317675,34.20600128,2.75317881297095,0.492,16.5725,-24,0.88312,-0.26019,-2.2,39,0,1,12,13,26
"Malaysian Exclusive Economic Zone","Malaysia","Malaysia",510822.838776,18.54876328,1.28634558239431,0.7,13.3764,-47,-0.86596,-0.06336,0.67,125,3,9,40,52,73
"Maldives Exclusive Economic Zone","Maldives","Maldives",925222.836017,47.32566452,11.3145108857638,0.561,76.6439,-33,1.55968,3.62043,-0.19,43,1,3,19,23,20
"Mexican Exclusive Economic Zone","Mexico","Mexico",3186924.40663,18.93079376,0.255911764372898,0.655,15.9859,-29,-0.44544,-0.62527,-0.19,166,3,2,18,23,143
"Moroccan Exclusive Economic Zone","Morocco","Morocco",280453.136651,15.11248398,1.85997050790849,0.503,18.6401,-40,-0.13043,-0.33383,-0.76,102,3,9,21,33,69
"Mozambican Exclusive Economic Zone","Mozambique","Mozambique",566107.319809,38.14663696,1.62018490633992,0.369,8.79254,-25,1.26752,-0.6979,-2.19,112,2,6,29,37,75
"Myanmar Exclusive Economic Zone","Myanmar","Myanmar",497442.180134,32.05197144,1.89495137763609,0.41,6.64608,-30,0.89847,-0.71997,-1.81,93,5,5,31,41,52
"Namibian Exclusive Economic Zone","Namibia","Namibia",562210.160942,35.29615402,3.43767176510526,0.546,13.8126,-51,0.24107,0.55706,-0.41,104,4,2,16,22,82
"Nicaraguan Exclusive Economic Zone","Nicaragua","Nicaragua",228251.857132,28.33724976,0.784743138390274,0.542,12.6912,-26,0.31164,-0.66385,-0.84,109,2,2,12,16,93
"Nigerian Exclusive Economic Zone","Nigeria","Nigeria",179050.962041,34.20332336,0.255979503367826,0.477,5.08019,-27,0.63006,-0.90339,-2.81,89,4,7,21,32,57
"Omani Exclusive Economic Zone","Oman","Oman",556485.906171,24.85081482,0.884401716478308,0.652,6.62437,-44,-0.49435,-0.33635,-1.71,81,2,4,24,30,51
"Pakistani Exclusive Economic Zone","Pakistan","Pakistan",224387.832462,21.90554428,0.465520474194861,0.395,7.37231,-32,0.4632,-1.08496,-2.15,80,4,4,26,34,46
"Panamanian Exclusive Economic Zone","Panama","Panama",331242.370352,25.18977928,0.193324514044479,0.691,14.4696,-37,-0.5655,-0.25741,0.18,111,3,2,15,20,91
"Protected Zone established under the Torres Strait Treaty","Papua New Guinea","Papua New Guinea",3716.58035339,31.66812134,1.64844477504861,0.419,1.83727,-29,0.87188,-0.9526,-1.57,73,3,4,25,32,41
"Papua New Guinean Exclusive Economic Zone","Papua New Guinea","Papua New Guinea",2399610.72138,31.66812134,1.64844477504861,0.419,1.83727,-29,0.87188,-0.9526,-1.57,101,4,6,30,40,61
"Joint regime area Peru / Ecuador","Peru","Peru",16123.8786382,24.14845085,1.76345701500878,0.672,9.77403,-37,-0.33911,-0.30752,-0.35,67,1,3,12,16,51
"Peruvian Exclusive Economic Zone","Peru","Peru",855322.284264,24.14845085,1.76345701500878,0.672,9.77403,-37,-0.33911,-0.30752,-0.35,81,1,3,15,19,62
"Philippines Exclusive Economic Zone","Philippines","Philippines",1971039.86154,25.13197327,1.11490288717625,0.637,21.1386,-34,-0.25016,-0.05766,-1.73,167,2,9,40,51,116
"Qatari Exclusive Economic Zone","Qatar","Qatar",30648.8431247,27.33832741,0.129122875423973,0.698,10.0216,-63,-1.08347,0.35465,2.57,42,1,3,16,20,22
"Saint Lucia Exclusive Economic Zone","Saint Lucia","Saint Lucia",15412.9352272,42.2713623,0.422760810926233,0.677,41.832,-55,-0.52024,1.72096,0.3,43,3,1,9,13,30
"Saudi Arabian Exclusive Economic Zone","Saudi Arabia","Saudi Arabia",224137.855448,14.1120224,0.0510311124357864,0.768,9.39293,-49,-1.3738,-0.32847,0.58,66,1,4,25,30,36
"Joint regime area Senegal / Guinea Bissau","Senegal","Senegal",63504.9930222,32.1016922,11.8095756632842,0.355,10.3825,-45,1.85008,0.87933,-1.69,84,4,6,18,28,56
"Senegalese Exclusive Economic Zone","Senegal","Senegal",158604.115529,32.1016922,11.8095756632842,0.355,10.3825,-45,1.85008,0.87933,-1.69,105,5,8,23,36,69
"Seychellois Exclusive Economic Zone","Seychelles","Seychelles",1341497.0288,43.7763443,1.3697364227474,0.706,65.3113,-60,-0.66259,2.91632,0.35,49,1,1,18,20,29
"Sierra Leonian Exclusive Economic Zone","Sierra Leone","Sierra Leone",160578.277588,49.69194794,8.10374712052957,0.374,4.13651,-30,2.20385,0.30649,-2.09,82,4,7,16,27,55
"Singaporean Exclusive Economic Zone","Singapore","Singapore",721.555202966,29.20640945,0.00122602149915727,0.814,10.1808,-84,-1.87637,1.12077,3.5,90,2,8,37,47,43
"Solomon Islands Exclusive Economic Zone","Solomon Islands","Solomon Islands",1605255.91456,48.89176178,14.2160911454458,0.445,10.3649,-39,2.42141,1.54109,-1.42,37,0,1,15,16,21
"South African Exclusive Economic Zone","South Africa","South Africa",1072718.43265,23.02053452,0.154619833105028,0.705,8.93298,-43,-0.78386,-0.34237,-0.26,168,4,5,35,44,124
"Sri Lankan Exclusive Economic Zone","Sri Lanka","Sri Lanka",533545.991412,24.16213989,0.606544385890307,0.752,11.6253,-38,-0.75374,-0.23977,-0.13,97,3,7,30,40,57
"Surinamese Exclusive Economic Zone","Suriname","Suriname",133316.418383,64.56445313,1.70228434907301,0.63,2.68754,-41,0.83667,0.55276,-0.04,74,3,2,13,18,56
"Tanzanian Exclusive Economic Zone","Tanzania","Tanzania",241452.798387,27.97339249,0.654145524842674,0.441,9.0381,-36,0.40864,-0.67372,-2.07,74,2,2,23,27,47
"Thailand Exclusive Economic Zone","Thailand","Thailand",298685.971043,23.57723236,2.04483455508424,0.641,21.1871,-37,-0.26659,0.09512,-0.01,105,3,9,38,50,55
"Togolese Exclusive Economic Zone","Togo","Togo",15439.2618032,33.94543839,0.57355434282055,0.489,8.66901,-32,0.49714,-0.58862,-2.07,80,4,7,18,29,51
"Trinidad and Tobago Exclusive Economic Zone","Trinidad and Tobago","Trinidad and Tobago",76575.0360158,31.70833206,0.138364247400443,0.717,7.7285,-41,-0.53755,-0.19806,0.85,67,4,2,12,18,49
"Tunisian Exclusive Economic Zone","Tunisia","Tunisia",99763.7373247,18.08312035,0.428338385854652,0.643,14.1954,-42,-0.68643,-0.351,-0.35,68,3,9,19,31,37
"Turkish Exclusive Economic Zone","Turkey","Turkey",262134.62716,11.36954498,0.116688012992841,0.668,11.611,-40,-0.93247,-0.68433,0.11,47,1,6,14,21,26
"United Arab Emirates Exclusive Economic Zone","United Arab Emirates","United Arab Emirates",52580.3217567,29.21211243,0.0969658573584333,0.687,7.74342,-71,-1.16517,0.52359,2.63,58,1,4,21,26,32
"Disputed area: Iran / United Arab Emirates","United Arab Emirates","United Arab Emirates",6173.22489162,29.21211243,0.0969658573584333,0.687,7.74342,-71,-1.16517,0.52359,2.63,40,1,3,17,21,19
"Vanuatu Exclusive Economic Zone","Vanuatu","Vanuatu",623417.068474,46.8181839,2.76824654390162,0.526,9.35473,-43,0.7364,0.37562,-0.63,45,0,2,13,15,30
